timestep,standing,seated,avg_skepticism,quality
0,18,82,0.441,0.498
1,32,68,0.475,0.508
2,47,53,0.503,0.56
3,56,44,0.527,0.584
4,60,40,0.535,0.591
5,65,35,0.551,0.619
6,74,26,0.572,0.646
7,76,24,0.577,0.672
8,77,23,0.581,0.696
9,79,21,0.586,0.709
10,87,13,0.611,0.748
11,92,8,0.624,0.762
12,95,5,0.632,0.785
13,99,1,0.639,0.817
14,100,0,0.642,0.847
15,100,0,0.642,0.886
16,100,0,0.642,0.918
17,100,0,0.642,0.93
18,100,0,0.642,0.944
19,100,0,0.642,0.961
20,100,0,0.642,1.0
21,100,0,0.642,0.986
22,100,0,0.642,1.0
23,100,0,0.642,0.982
24,100,0,0.642,0.991
25,100,0,0.642,1.0
26,100,0,0.642,0.982
27,100,0,0.642,0.989
28,100,0,0.642,0.987
29,100,0,0.642,0.984
30,100,0,0.642,0.991
31,100,0,0.642,1.0
32,100,0,0.642,0.998
33,100,0,0.642,0.99
34,100,0,0.642,0.985
35,100,0,0.642,0.99
36,100,0,0.642,0.984
37,100,0,0.642,1.0
38,100,0,0.642,0.982
39,100,0,0.642,0.999
40,100,0,0.642,0.996
41,100,0,0.642,0.996
42,100,0,0.642,1.0
43,100,0,0.642,1.0
44,100,0,0.642,1.0
45,100,0,0.642,1.0
46,100,0,0.642,0.983
47,100,0,0.642,0.996
48,100,0,0.642,1.0
49,100,0,0.642,0.995
