Timestep,Trend-Follower Only,Skeptic Only,Neutral Only,Mixed Audience
0,227,227,227,227
1,613,230,298,374
2,1203,234,419,583
3,1838,236,595,804
4,2290,236,821,1039
5,2454,236,1090,1295
6,2474,212,1354,1525
7,2420,193,1619,1725
8,2315,174,1853,1856
9,2123,146,1993,1894
10,1874,119,2047,1890
11,1638,97,2026,1814
12,1398,67,1950,1720
13,1151,41,1811,1576
14,895,25,1635,1389
15,676,3,1437,1200
16,427,3,1223,1029
17,232,1,1027,861
18,96,0,839,692
19,31,0,645,537
20,7,0,488,408
21,0,0,340,304
22,0,0,241,208
23,0,0,156,154
24,0,0,94,98
25,0,0,63,71
26,0,0,44,47
27,0,0,25,34
28,0,0,13,23
29,0,0,6,20
30,0,0,2,13
31,0,0,1,7
32,0,0,0,5
33,0,0,0,3
34,0,0,0,3
35,0,0,0,1
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
