Timestep,Trend-Follower Only,Skeptic Only,Neutral Only,Mixed Audience
0,227,227,227,227
1,489,227,234,312
2,1033,227,238,401
3,1966,227,242,538
4,2280,227,249,701
5,2356,227,261,928
6,2391,205,255,1148
7,2373,174,229,1305
8,2293,150,205,1416
9,2138,124,177,1447
10,1913,105,157,1441
11,1671,87,136,1375
12,1417,62,102,1267
13,1193,43,81,1141
14,938,20,51,1002
15,673,0,26,840
16,434,0,20,706
17,248,0,15,555
18,99,0,7,414
19,50,0,4,317
20,29,0,3,215
21,10,0,1,137
22,7,0,0,75
23,1,0,0,40
24,0,0,0,21
25,0,0,0,10
26,0,0,0,3
27,0,0,0,3
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
