Timestep,Trend-Follower Only,Skeptic Only,Neutral Only,Mixed Audience
0,232,232,232,232
1,259,232,235,244
2,309,232,235,244
3,647,232,235,244
4,1234,232,235,244
5,1240,232,235,244
6,1208,200,203,212
7,1177,173,175,183
8,1151,151,153,160
9,1082,130,131,137
10,951,105,105,112
11,830,81,81,87
12,717,64,64,68
13,590,40,40,44
14,459,16,16,19
15,342,0,0,0
16,233,0,0,0
17,136,0,0,0
18,53,0,0,0
19,1,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
