Timestep,Trend-Follower Only,Skeptic Only,Neutral Only,Mixed Audience
0,273,273,273,273
1,1575,395,818,912
2,2320,606,1523,1727
3,2496,871,2098,2274
4,2467,1138,2371,2439
5,2313,1403,2354,2371
6,1995,1628,2182,2164
7,1613,1751,1930,1862
8,1212,1741,1523,1444
9,834,1645,1159,1053
10,471,1469,773,686
11,154,1259,439,362
12,23,1000,201,143
13,1,772,76,33
14,0,574,22,4
15,0,401,5,0
16,0,287,0,0
17,0,189,0,0
18,0,131,0,0
19,0,82,0,0
20,0,50,0,0
21,0,35,0,0
22,0,21,0,0
23,0,13,0,0
24,0,8,0,0
25,0,4,0,0
26,0,1,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
