Timestep,Trend-Follower Only,Skeptic Only,Neutral Only,Mixed Audience
0,253,253,253,253
1,950,255,582,580
2,2231,258,1216,1205
3,2420,258,1907,1904
4,2452,234,2181,2140
5,2357,200,2186,2135
6,2072,161,2086,2002
7,1717,119,1881,1772
8,1360,76,1571,1468
9,974,37,1251,1154
10,614,2,932,808
11,289,0,636,562
12,58,0,377,304
13,15,0,184,128
14,6,0,99,75
15,1,0,85,53
16,0,0,70,44
17,0,0,64,32
18,0,0,50,22
19,0,0,40,15
20,0,0,37,9
21,0,0,26,4
22,0,0,20,1
23,0,0,13,1
24,0,0,10,0
25,0,0,8,0
26,0,0,4,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
