Timestep,Trend-Follower Only,Skeptic Only,Neutral Only,Mixed Audience
0,258,258,258,258
1,365,258,261,291
2,536,258,262,307
3,768,258,263,316
4,1065,258,263,320
5,1381,258,263,322
6,1665,258,263,325
7,1915,258,263,326
8,2106,258,263,327
9,2255,258,263,327
10,2355,258,263,327
11,2408,244,249,313
12,2432,232,237,300
13,2428,219,224,285
14,2396,201,206,264
15,2365,188,193,249
16,2291,173,177,227
17,2204,162,166,213
18,2107,150,153,198
19,1993,148,151,191
20,1879,138,141,175
21,1754,117,120,148
22,1645,108,111,139
23,1520,94,96,121
24,1409,78,80,104
25,1275,64,66,87
26,1155,49,51,69
27,1033,34,36,52
28,899,26,27,38
29,788,13,14,24
30,658,0,0,8
31,538,0,0,3
32,428,0,0,3
33,341,0,0,1
34,245,0,0,1
35,169,0,0,1
36,113,0,0,0
37,73,0,0,0
38,47,0,0,0
39,33,0,0,0
40,14,0,0,0
41,7,0,0,0
42,4,0,0,0
43,1,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
