Timestep,Trend-Follower Only,Skeptic Only,Neutral Only,Mixed Audience
0,255,255,255,255
1,260,255,255,257
2,262,255,255,257
3,263,255,255,257
4,263,255,255,257
5,263,255,255,257
6,263,255,255,257
7,263,255,255,257
8,263,255,255,257
9,263,255,255,257
10,263,255,255,257
11,251,243,243,245
12,241,233,233,235
13,223,216,216,217
14,214,207,207,208
15,203,196,196,197
16,187,181,181,182
17,173,168,168,169
18,164,159,159,160
19,151,146,146,147
20,139,134,134,135
21,129,124,124,125
22,112,108,108,109
23,91,88,88,89
24,79,76,76,77
25,70,69,69,70
26,61,60,60,61
27,49,48,48,49
28,33,32,32,33
29,18,18,18,18
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
