Timestep,Trend-Follower Only,Skeptic Only,Neutral Only,Mixed Audience
0,253,253,253,253
1,253,253,253,253
2,253,253,253,253
3,253,253,253,253
4,253,253,253,253
5,253,253,253,253
6,253,253,253,253
7,253,253,253,253
8,253,253,253,253
9,253,253,253,253
10,253,253,253,253
11,238,238,238,238
12,222,222,222,222
13,212,212,212,212
14,205,205,205,205
15,189,189,189,189
16,178,178,178,178
17,163,163,163,163
18,155,155,155,155
19,144,144,144,144
20,125,125,125,125
21,120,120,120,120
22,106,106,106,106
23,88,88,88,88
24,78,78,78,78
25,69,69,69,69
26,59,59,59,59
27,35,35,35,35
28,25,25,25,25
29,18,18,18,18
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
